,level_0,level_1,m/z,time,Intens.,SN,Quality Fac.,Res.,Area,Rel. Intens.,FWHM,Chi^2,Bk. Peak,name,hep/hhep,SAA/IS_SAA,hep avg,hep std,SAA avg,SAA std
174,4-13_0_E9_1,2,2791.80964820404,29942.992479897126,923.0,1.401385270523837,,361.0018485616432,1098.421397963389,0.2870917573872473,7.733505131144286,,0.0,4_13,,,,,,
175,4-13_0_E9_1,3,2820.293589769332,30093.035693424958,3215.0,20.41770903214745,,564.3268315726376,13877.27555137564,1.0,4.997624482801712,,0.0,4_13,,,,,,
176,4-2_0_D1_1,0,1522.52581546224,22217.297975535155,1366.0,1.456747344196371,,608.6165293086607,1026.362808019693,0.23818657367044463,2.501617590294017,,0.0,4_2,0.1143683050381682,0.08102783306450137,0.11210604247226755,0.003199322402346333,0.08053898026928166,0.0006913422530030753
177,4-2_0_D1_1,1,1538.44094278152,22331.225788142212,5735.0,17.5629061819698,,672.885593850118,12666.79323884507,1.0,2.286333600900661,,0.0,4_2,,,,,,
178,4-2_0_D1_1,2,2791.931208106343,29943.634458585373,1441.0,2.53483038931283,,520.0258152032775,2595.496684492498,0.2512641673931997,5.368831943496844,,0.0,4_2,,,,,,
179,4-2_0_D1_1,3,2820.033553336852,30091.669397962636,4931.0,23.99538678275551,,543.8979052678644,22694.19559576669,0.8598081952920663,5.184858272156818,,0.0,4_2,,,,,,
180,4-2_0_D2_1,0,1522.40963834912,22216.464120403376,1080.0,1.065194682000319,,438.9836768944283,570.4743797952042,0.29572836801752467,3.4680324542346166,,0.0,4_2,0.10984377990636691,0.08005012747406194,0.11210604247226755,0.003199322402346333,0.08053898026928166,0.0006913422530030753
181,4-2_0_D2_1,1,1538.505755810518,22331.688529439707,3652.0,12.12448448393873,,677.5740460596248,7126.464351728245,1.0,2.270609042299612,,0.0,4_2,,,,,,
182,4-2_0_D2_1,2,2792.060140710339,29944.315358291744,1080.0,1.503290007092096,,476.7618396746429,1609.072318185435,0.29572836801752467,5.856299536505958,,0.0,4_2,,,,,,
183,4-2_0_D2_1,3,2820.048106513039,30091.745865621866,3349.0,16.44372663248243,,570.2047279472051,14648.7340435393,0.9170317634173056,4.945676470739726,,0.0,4_2,,,,,,
184,4-3_0_D3_1,0,1526.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4_3,0.0,0.0,0.0,0.0,0.0,0.0
185,4-3_0_D3_1,1,1538.545930158808,22331.975354634455,4610.0,18.23646270879871,,879.9086265554965,9688.200174130203,1.0,1.748529203744283,,0.0,4_3,,,,,,
186,4-3_0_D3_1,2,2791.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,4_3,,,,,,
